gene_id	colors
ENSG00000000003.15	brown
ENSG00000000005.6	turquoise
ENSG00000000419.13	pink
ENSG00000000457.14	grey
ENSG00000000460.17	pink
ENSG00000000938.13	red
ENSG00000000971.16	greenyellow
ENSG00000001036.14	green
ENSG00000001084.13	grey
ENSG00000001167.14	black
ENSG00000001460.18	brown
ENSG00000001461.17	purple
ENSG00000001497.18	green
ENSG00000001561.7	grey
ENSG00000001617.12	grey
ENSG00000001626.16	grey
ENSG00000001629.10	yellow
ENSG00000001630.17	yellow
ENSG00000001631.16	blue
ENSG00000002016.18	blue
ENSG00000002079.14	magenta
ENSG00000002330.14	green
ENSG00000002549.12	red
ENSG00000002586.20	turquoise
ENSG00000002587.10	purple
ENSG00000002726.21	grey
ENSG00000002745.13	grey
ENSG00000002746.15	turquoise
ENSG00000002822.15	red
ENSG00000002834.18	pink
ENSG00000002919.15	grey
ENSG00000002933.9	turquoise
ENSG00000003056.8	yellow
ENSG00000003096.14	magenta
ENSG00000003137.8	magenta
ENSG00000003147.19	brown
ENSG00000003249.15	brown
ENSG00000003393.15	grey
ENSG00000003400.15	red
ENSG00000003402.20	red
ENSG00000003436.16	grey
ENSG00000003509.16	grey
ENSG00000003756.17	blue
ENSG00000003987.14	grey
ENSG00000003989.18	grey
ENSG00000004059.11	green
ENSG00000004139.14	brown
ENSG00000004142.12	green
ENSG00000004399.13	turquoise
ENSG00000004455.17	green
ENSG00000004468.13	red
ENSG00000004478.8	pink
ENSG00000004487.17	grey
ENSG00000004534.15	blue
ENSG00000004660.15	grey
ENSG00000004700.16	yellow
ENSG00000004766.17	yellow
ENSG00000004776.13	turquoise
ENSG00000004777.18	grey60
ENSG00000004779.10	green
ENSG00000004799.8	turquoise
ENSG00000004809.14	red
ENSG00000004838.14	grey60
ENSG00000004846.16	turquoise
ENSG00000004848.8	grey
ENSG00000004864.14	yellow
ENSG00000004866.22	lightgreen
ENSG00000004897.12	yellow
ENSG00000004939.15	grey
ENSG00000004948.16	grey
ENSG00000004961.15	darkgreen
ENSG00000004975.12	orange
ENSG00000005001.10	purple
ENSG00000005007.13	purple
ENSG00000005020.13	salmon
ENSG00000005022.6	pink
ENSG00000005059.16	magenta
ENSG00000005073.6	grey
ENSG00000005075.15	green
ENSG00000005100.13	orange
ENSG00000005102.14	turquoise
ENSG00000005108.16	turquoise
ENSG00000005156.12	grey
ENSG00000005175.10	yellow
ENSG00000005187.12	brown
ENSG00000005189.20	grey60
ENSG00000005194.15	pink
ENSG00000005206.17	blue
ENSG00000005238.20	grey
ENSG00000005243.10	magenta
ENSG00000005249.13	turquoise
ENSG00000005302.19	grey
ENSG00000005339.15	yellow
ENSG00000005379.17	midnightblue
ENSG00000005381.8	turquoise
ENSG00000005421.9	grey
ENSG00000005436.14	grey
ENSG00000005448.17	green
ENSG00000005469.12	brown
ENSG00000005471.19	turquoise
ENSG00000005483.21	black
ENSG00000005486.17	lightgreen
ENSG00000005513.10	turquoise
ENSG00000005700.15	yellow
ENSG00000005801.18	blue
ENSG00000005810.18	yellow
ENSG00000005812.11	salmon
ENSG00000005844.19	red
ENSG00000005882.12	grey
ENSG00000005884.18	greenyellow
ENSG00000005889.16	yellow
ENSG00000005893.16	salmon
ENSG00000005961.19	grey60
ENSG00000005981.13	grey
ENSG00000006007.12	brown
ENSG00000006015.18	green
ENSG00000006016.11	turquoise
ENSG00000006025.12	blue
ENSG00000006042.12	grey
ENSG00000006047.13	grey60
ENSG00000006059.4	brown
ENSG00000006062.17	red
ENSG00000006071.15	turquoise
ENSG00000006118.15	pink
ENSG00000006125.18	grey
ENSG00000006128.12	grey
ENSG00000006194.10	grey
ENSG00000006210.7	turquoise
ENSG00000006282.21	midnightblue
ENSG00000006283.18	grey
ENSG00000006327.14	magenta
ENSG00000006377.11	grey
ENSG00000006432.15	greenyellow
ENSG00000006451.8	pink
ENSG00000006453.14	purple
ENSG00000006459.11	yellow
ENSG00000006468.14	turquoise
ENSG00000006530.18	grey
ENSG00000006534.16	grey
ENSG00000006555.11	purple
ENSG00000006576.16	salmon
ENSG00000006606.9	turquoise
ENSG00000006607.14	yellow
ENSG00000006611.17	grey
ENSG00000006625.18	green
ENSG00000006634.8	pink
ENSG00000006638.13	turquoise
ENSG00000006652.15	grey
ENSG00000006695.12	orange
ENSG00000006704.11	purple
ENSG00000006712.15	green
ENSG00000006715.16	yellow
ENSG00000006740.17	turquoise
ENSG00000006744.19	lightgreen
ENSG00000006747.15	brown
ENSG00000006756.16	brown
ENSG00000006757.12	grey
ENSG00000006788.14	turquoise
ENSG00000006831.10	yellow
ENSG00000006837.12	blue
ENSG00000007001.13	midnightblue
ENSG00000007038.11	tan
ENSG00000007047.15	grey
ENSG00000007062.12	brown
ENSG00000007080.11	green
ENSG00000007129.18	red
ENSG00000007168.14	orange
ENSG00000007171.18	grey
ENSG00000007174.18	turquoise
ENSG00000007202.15	grey
ENSG00000007216.15	grey
ENSG00000007237.19	turquoise
ENSG00000007255.10	brown
ENSG00000007264.15	red
ENSG00000007306.15	purple
ENSG00000007312.13	red
ENSG00000007314.12	turquoise
ENSG00000007341.19	grey
ENSG00000007350.17	tan
ENSG00000007372.24	magenta
ENSG00000007376.8	green
ENSG00000007384.15	purple
ENSG00000007392.17	blue
ENSG00000007402.12	grey60
ENSG00000007516.14	brown
ENSG00000007520.4	lightgreen
ENSG00000007541.17	green
ENSG00000007545.16	grey
ENSG00000007866.22	brown
ENSG00000007908.16	turquoise
ENSG00000007923.16	yellow
ENSG00000007933.13	turquoise
ENSG00000007944.15	brown
ENSG00000007952.18	brown
ENSG00000007968.7	pink
ENSG00000008018.9	green
ENSG00000008056.14	turquoise
ENSG00000008083.14	pink
ENSG00000008086.13	brown
ENSG00000008118.10	turquoise
ENSG00000008128.23	blue
ENSG00000008130.15	grey
ENSG00000008196.13	brown
ENSG00000008226.20	brown
ENSG00000008256.16	turquoise
ENSG00000008277.14	brown
ENSG00000008282.9	purple
ENSG00000008283.16	purple
ENSG00000008294.21	yellow
ENSG00000008300.17	darkturquoise
ENSG00000008311.15	midnightblue
ENSG00000008323.15	purple
ENSG00000008324.12	green
ENSG00000008382.16	green
ENSG00000008394.13	purple
ENSG00000008405.12	yellow
ENSG00000008438.5	grey
ENSG00000008441.18	turquoise
ENSG00000008513.16	grey
ENSG00000008516.17	red
ENSG00000008517.18	red
ENSG00000008710.20	yellow
ENSG00000008735.14	grey
ENSG00000008838.20	pink
ENSG00000008853.17	brown
ENSG00000008869.12	yellow
ENSG00000008952.17	salmon
ENSG00000008988.11	darkred
ENSG00000009307.16	salmon
ENSG00000009335.18	yellow
ENSG00000009413.16	yellow
ENSG00000009694.13	tan
ENSG00000009709.12	grey
ENSG00000009724.17	black
ENSG00000009765.15	brown
ENSG00000009780.16	grey
ENSG00000009790.15	red
ENSG00000009830.12	magenta
ENSG00000009844.16	pink
ENSG00000009950.16	grey60
ENSG00000009954.11	yellow
ENSG00000010017.13	yellow
ENSG00000010030.14	red
ENSG00000010072.16	yellow
ENSG00000010165.20	pink
ENSG00000010219.13	grey
ENSG00000010244.19	grey
ENSG00000010256.11	green
ENSG00000010270.14	salmon
ENSG00000010278.15	purple
ENSG00000010282.15	grey
ENSG00000010292.13	pink
ENSG00000010295.20	turquoise
ENSG00000010310.9	purple
ENSG00000010318.21	grey
ENSG00000010319.7	turquoise
ENSG00000010322.16	blue
ENSG00000010327.10	red
ENSG00000010361.14	green
ENSG00000010379.16	grey
ENSG00000010404.18	yellow
ENSG00000010438.17	grey
ENSG00000010539.12	grey
ENSG00000010610.10	red
ENSG00000010626.15	green
ENSG00000010671.16	red
ENSG00000010704.18	grey
ENSG00000010803.16	midnightblue
ENSG00000010810.17	turquoise
ENSG00000010818.10	grey
ENSG00000010932.17	turquoise
ENSG00000011007.12	pink
ENSG00000011009.11	green
ENSG00000011021.23	grey
ENSG00000011028.14	turquoise
ENSG00000011083.9	red
ENSG00000011105.14	turquoise
ENSG00000011114.15	yellow
ENSG00000011132.12	green
ENSG00000011143.19	grey
ENSG00000011198.10	brown
ENSG00000011201.12	turquoise
ENSG00000011243.18	blue
ENSG00000011258.16	black
ENSG00000011260.14	pink
ENSG00000011275.19	salmon
ENSG00000011295.16	grey
ENSG00000011304.22	pink
ENSG00000011332.19	pink
ENSG00000011347.10	grey
ENSG00000011376.12	salmon
ENSG00000011405.13	yellow
ENSG00000011422.12	turquoise
ENSG00000011426.11	pink
ENSG00000011451.21	grey
ENSG00000011454.18	grey
ENSG00000011465.18	turquoise
ENSG00000011478.13	green
ENSG00000011485.15	pink
ENSG00000011523.14	grey
ENSG00000011566.15	yellow
ENSG00000011590.14	red
ENSG00000011600.12	red
ENSG00000011638.11	purple
ENSG00000011677.13	lightcyan
ENSG00000012048.23	pink
ENSG00000012061.16	green
ENSG00000012124.17	red
ENSG00000012171.20	grey
ENSG00000012174.12	salmon
ENSG00000012211.13	purple
ENSG00000012223.13	red
ENSG00000012232.9	grey
ENSG00000012504.15	brown
ENSG00000012660.14	salmon
ENSG00000012779.11	brown
ENSG00000012817.16	darkorange
ENSG00000012822.16	grey
ENSG00000012963.15	salmon
ENSG00000012983.11	yellow
ENSG00000013016.16	brown
ENSG00000013275.8	green
ENSG00000013288.9	grey
ENSG00000013293.6	turquoise
ENSG00000013297.12	turquoise
ENSG00000013306.16	green
ENSG00000013364.19	greenyellow
ENSG00000013374.16	red
ENSG00000013375.16	grey
ENSG00000013392.8	grey
ENSG00000013441.16	midnightblue
ENSG00000013503.10	yellow
ENSG00000013523.11	grey
ENSG00000013561.18	grey
ENSG00000013563.14	grey
ENSG00000013573.17	grey
ENSG00000013583.10	lightgreen
ENSG00000013588.9	purple
ENSG00000013619.14	turquoise
ENSG00000013725.14	red
ENSG00000013810.20	pink
ENSG00000014123.10	yellow
ENSG00000014138.9	green
ENSG00000014164.7	grey
ENSG00000014216.16	purple
ENSG00000014257.16	grey
ENSG00000014641.21	pink
ENSG00000014824.14	grey
ENSG00000014914.21	grey
ENSG00000014919.13	grey
ENSG00000015133.19	grey
ENSG00000015153.15	grey
ENSG00000015171.20	yellow
ENSG00000015285.11	red
ENSG00000015413.9	turquoise
ENSG00000015475.19	grey
ENSG00000015479.20	black
ENSG00000015520.15	grey
ENSG00000015532.10	grey
ENSG00000015592.16	turquoise
ENSG00000015676.18	magenta
ENSG00000016082.15	turquoise
ENSG00000016391.11	brown
ENSG00000016402.13	purple
ENSG00000016602.9	grey
ENSG00000016864.18	brown
ENSG00000017260.20	yellow
ENSG00000017427.17	turquoise
ENSG00000017483.15	magenta
ENSG00000017797.13	brown
ENSG00000018189.13	grey
ENSG00000018236.15	turquoise
ENSG00000018280.17	red
ENSG00000018408.15	turquoise
ENSG00000018510.17	pink
ENSG00000018610.15	pink
ENSG00000018625.15	turquoise
ENSG00000018699.13	pink
ENSG00000018869.17	grey
ENSG00000019102.12	brown
ENSG00000019144.19	turquoise
ENSG00000019169.10	red
ENSG00000019186.10	purple
ENSG00000019485.13	grey
ENSG00000019505.8	grey60
ENSG00000019549.13	magenta
ENSG00000019582.15	red
ENSG00000019991.18	turquoise
ENSG00000019995.6	yellow
ENSG00000020129.16	grey
ENSG00000020181.18	turquoise
ENSG00000020256.20	yellow
ENSG00000020426.11	salmon
ENSG00000020577.14	turquoise
ENSG00000020633.19	red
ENSG00000020922.13	grey
ENSG00000021300.14	grey60
ENSG00000021355.13	greenyellow
ENSG00000021461.17	blue
ENSG00000021488.13	blue
ENSG00000021574.13	yellow
ENSG00000021645.20	brown
ENSG00000021762.20	turquoise
ENSG00000021776.11	yellow
ENSG00000021826.17	grey
ENSG00000021852.13	darkgrey
ENSG00000022267.19	turquoise
ENSG00000022277.13	lightgreen
ENSG00000022556.16	grey
ENSG00000022567.10	grey
ENSG00000022840.16	green
ENSG00000022976.15	black
ENSG00000023041.11	grey
ENSG00000023171.18	red
ENSG00000023191.17	salmon
ENSG00000023228.14	salmon
ENSG00000023287.13	grey
ENSG00000023318.8	darkgreen
ENSG00000023330.15	brown
ENSG00000023445.16	red
ENSG00000023516.9	yellow
ENSG00000023572.10	grey
ENSG00000023608.5	magenta
ENSG00000023697.13	magenta
ENSG00000023734.11	pink
ENSG00000023839.12	grey
ENSG00000023892.11	greenyellow
ENSG00000023902.14	turquoise
ENSG00000023909.10	grey
ENSG00000024048.11	yellow
ENSG00000024422.12	magenta
ENSG00000024526.17	pink
ENSG00000024862.18	grey
ENSG00000025039.15	grey
ENSG00000025156.13	grey
ENSG00000025293.17	salmon
ENSG00000025423.11	turquoise
ENSG00000025434.19	grey
ENSG00000025708.14	red
ENSG00000025770.19	green
ENSG00000025772.8	grey
ENSG00000025796.14	yellow
ENSG00000025800.14	yellow
ENSG00000026025.16	turquoise
ENSG00000026036.22	blue
ENSG00000026103.22	turquoise
ENSG00000026297.16	green
ENSG00000026508.20	magenta
ENSG00000026559.14	brown
ENSG00000026652.15	turquoise
ENSG00000026751.17	red
ENSG00000026950.17	red
ENSG00000027001.10	salmon
ENSG00000027075.15	grey
ENSG00000027644.5	turquoise
ENSG00000027697.15	grey
ENSG00000027847.14	green
ENSG00000027869.12	grey
ENSG00000028116.18	yellow
ENSG00000028137.19	red
ENSG00000028203.18	yellow
ENSG00000028277.21	red
ENSG00000028310.18	grey
ENSG00000028528.15	grey
ENSG00000028839.10	pink
ENSG00000029153.14	magenta
ENSG00000029363.17	grey
ENSG00000029364.12	salmon
ENSG00000029534.21	greenyellow
ENSG00000029559.7	grey
ENSG00000029639.11	green
ENSG00000029725.17	salmon
ENSG00000029993.15	pink
ENSG00000030066.13	yellow
ENSG00000030110.13	greenyellow
ENSG00000030304.14	turquoise
ENSG00000030419.16	purple
ENSG00000030582.18	grey
ENSG00000031003.10	brown
ENSG00000031081.11	red
ENSG00000031691.7	pink
ENSG00000031698.13	lightgreen
ENSG00000031823.14	green
ENSG00000032219.19	yellow
ENSG00000032389.13	pink
ENSG00000032444.17	green
ENSG00000032742.18	grey
ENSG00000033011.13	salmon
ENSG00000033030.15	black
ENSG00000033050.9	green
ENSG00000033100.16	red
ENSG00000033122.21	grey
ENSG00000033170.17	salmon
ENSG00000033178.13	yellow
ENSG00000033327.13	grey
ENSG00000033627.17	grey
ENSG00000033800.14	yellow
ENSG00000033867.16	black
ENSG00000034053.14	grey60
ENSG00000034152.19	greenyellow
ENSG00000034239.11	grey
ENSG00000034510.6	magenta
ENSG00000034533.12	grey
ENSG00000034677.13	grey
ENSG00000034693.15	salmon
ENSG00000034713.8	grey
ENSG00000034971.17	turquoise
ENSG00000035115.22	purple
ENSG00000035141.8	green
ENSG00000035403.18	yellow
ENSG00000035499.13	pink
ENSG00000035664.11	grey
ENSG00000035681.9	grey
ENSG00000035687.10	yellow
ENSG00000035720.8	red
ENSG00000035862.12	turquoise
ENSG00000035928.16	yellow
ENSG00000036054.13	yellow
ENSG00000036257.13	yellow
ENSG00000036448.10	turquoise
ENSG00000036530.9	turquoise
ENSG00000036549.13	yellow
ENSG00000036565.15	grey
ENSG00000036672.16	turquoise
ENSG00000036828.17	grey
ENSG00000037042.9	grey
ENSG00000037241.7	green
ENSG00000037280.16	turquoise
ENSG00000037474.15	darkgreen
ENSG00000037637.11	grey
ENSG00000037749.12	yellow
ENSG00000037757.14	grey
ENSG00000037897.17	green
ENSG00000037965.6	grey
ENSG00000038002.9	greenyellow
ENSG00000038210.14	yellow
ENSG00000038219.13	yellow
ENSG00000038274.17	yellow
ENSG00000038295.8	turquoise
ENSG00000038358.15	yellow
ENSG00000038382.20	salmon
ENSG00000038427.16	turquoise
ENSG00000038532.16	grey
ENSG00000038945.15	red
ENSG00000039068.19	purple
ENSG00000039123.16	yellow
ENSG00000039139.9	grey
ENSG00000039319.17	yellow
ENSG00000039523.20	turquoise
ENSG00000039537.14	turquoise
ENSG00000039560.14	grey
ENSG00000039600.11	turquoise
ENSG00000039650.12	green
ENSG00000039987.7	magenta
ENSG00000040199.18	yellow
ENSG00000040275.17	pink
ENSG00000040341.18	grey
ENSG00000040487.13	green
ENSG00000040531.16	orange
ENSG00000040608.14	pink
ENSG00000040633.13	lightgreen
ENSG00000040731.10	grey
